"Date","RH2M","T2M","TS","T2M_MAX","T2M_MIN"
2011-12-14,85.5,7.28,6.8,10.84,5.37
2011-12-15,87.38,8.23,7.78,12.73,5.44
2011-12-16,88.56,7.56,7.15,13.65,2.75
2011-12-17,91.25,4.51,3.96,7.01,3.05
2011-12-18,90.62,4.33,3.76,7.1,2.27
2011-12-19,96.62,5.28,4.74,9.73,2.05
2011-12-20,93.81,8.35,7.86,10.33,6.45
2011-12-21,95.56,10.38,10.01,12.8,7.12
2011-12-22,94.5,9.01,8.57,12.04,6.85
2011-12-23,93.06,8.24,7.73,11.23,5.94
2011-12-24,89.94,4.8,4.2,9.26,1.48
2011-12-25,92.25,6.97,6.33,10.9,5.06
2011-12-26,91.69,4.75,3.27,10.09,0.72
2011-12-27,94.69,2.18,2.26,5.62,0.89
2011-12-28,93.31,6.3,5.89,11.26,3.02
2011-12-29,93.38,5.16,4.68,8.05,2.24
2011-12-30,95.31,9.4,9,11.3,6.9
2011-12-31,95.44,11.93,11.55,13.56,11.1
2012-01-01,94.94,12.08,11.65,13.15,9.48
2012-01-02,91.62,6.64,6.17,8.84,4.65
2012-01-03,91.44,10.12,9.58,12.9,6.73
2012-01-04,86.56,7.27,6.83,10.18,4.48
2012-01-05,82.75,9.72,9.15,12.45,7.49
2012-01-06,85.62,7.1,6.63,10.43,3.92
2012-01-07,95.94,8.61,8.18,11.71,6.37
2012-01-08,92,7.45,7.07,9.73,6.16
2012-01-09,96.62,7.66,6.26,11.66,5.71
2012-01-10,91.31,6.06,5.3,10.62,4.25
2012-01-11,88.56,6,5.19,10.27,2.94
2012-01-12,88.06,6.96,6.43,10.38,5.01
2012-01-13,92.06,5.45,4.95,9.51,0.62
2012-01-14,89.19,0.8,0.83,5,-2.92
2012-01-15,89.75,-1.81,-1.97,3.38,-4.34
2012-01-16,91.44,-1.89,-2.13,3.72,-4.25
2012-01-17,96.19,0.92,0.62,5.02,-3.24
2012-01-18,98.88,6.34,5.72,10.44,0.95
2012-01-19,95.62,10.08,9.57,11.77,7.64
2012-01-20,89.19,8.16,7.8,11.33,6.42
2012-01-21,93.5,10.27,9.88,12.75,8.22
2012-01-22,88.81,8.91,8.75,12.23,7.21
2012-01-23,90.19,7.1,6.76,10.57,4.19
2012-01-24,95.12,8.6,8.33,11.9,5.68
2012-01-25,95.12,8.03,7.76,10.03,5.64
2012-01-26,86.19,6.9,6.49,9.76,2.16
2012-01-27,91.62,3.87,3.7,9.05,0.43
2012-01-28,90.31,4.24,3.97,7.23,2.28
2012-01-29,88.75,3.63,3.32,6.75,1.9
2012-01-30,96.44,1.29,1.22,2.4,-0.78
2012-01-31,89.81,-1.25,-1.32,1.41,-2.92
2012-02-01,82.44,-3,-3.17,0.8,-5.57
2012-02-02,69.25,-3.99,-4.18,0.43,-6.34
2012-02-03,70.44,-4.67,-5.17,0.65,-7.58
2012-02-04,87.06,-1.59,-2.15,3.65,-7.25
2012-02-05,94.12,1.37,0.76,4.23,-2.18
2012-02-06,94.25,0.69,0.39,3.83,-1.99
2012-02-07,81.56,-1.35,-1.38,2.83,-6.15
2012-02-08,81.5,-4.41,-4.36,0.23,-7.59
2012-02-09,91.56,-2.53,-2.54,3.52,-7.43
2012-02-10,79.62,-2.25,-2.13,1.68,-6.42
2012-02-11,83.12,-4.56,-4.71,1.65,-9.45
2012-02-12,87.44,-2.26,-2.56,4.37,-9.09
2012-02-13,97.81,2.92,2.34,6.32,1.28
2012-02-14,91.06,3.58,3.05,7.49,0.99
2012-02-15,89.56,5.7,5.22,9.98,2.76
2012-02-16,89.06,5.57,5.3,10.36,2.3
2012-02-17,97.5,5.98,5.48,10.03,1.6
2012-02-18,93.5,7.23,6.87,10.02,4.44
2012-02-19,80.88,3.51,2.96,9.05,-0.54
2012-02-20,77,2.33,1.33,8.55,-2.01
2012-02-21,68.5,2.88,1.91,9.05,-0.97
2012-02-22,79.94,3.08,2.19,7.26,-2.77
2012-02-23,92.88,10.21,9.82,15.78,6.95
2012-02-24,93.31,10.05,9.83,15.32,6.39
2012-02-25,92.44,9.51,9.64,14.54,6.64
2012-02-26,87.12,8.26,8.33,13.01,4.22
2012-02-27,87.19,7.86,7.76,12.87,4.15
2012-02-28,88.06,8.21,8.03,14.05,4.58
2012-02-29,83.5,8.18,7.55,15.28,2.83
2012-03-01,88.44,9.01,8.5,15.51,2.65
2012-03-02,90.38,8.94,8.54,12.3,4.67
2012-03-03,88.44,9.21,9.02,13.26,4.99
2012-03-04,85.19,7.23,6.87,10.4,1.98
2012-03-05,81.88,4.85,4.66,9.83,1.34
2012-03-06,75.56,5.09,4.62,10.95,1.02
2012-03-07,87,5.52,4.98,10.34,0.27
2012-03-08,80.62,6.29,5.9,12.02,2.45
2012-03-09,84.56,7.19,6.65,12.73,2.72
2012-03-10,90.06,7.91,7.54,12.09,5.29
2012-03-11,86.94,9.73,9.99,15.65,5.87
2012-03-12,83.44,9.52,9.79,17.45,4.69
2012-03-13,85.56,9.8,10.02,17.34,5.61
2012-03-14,86.38,9.46,9.72,17.98,4.83
2012-03-15,83.19,10.38,10.15,17.92,5.48
2012-03-16,85.25,9.76,9.15,15.51,5.71
2012-03-17,91.25,8.63,8.52,13.35,5.94
2012-03-18,85.12,6.47,6.26,10.11,2.43
2012-03-19,78.69,6.35,6.49,12.74,1.77
2012-03-20,80.25,6.55,6.55,12.44,1.5
2012-03-21,79.44,8.8,8.73,14.8,3.16
2012-03-22,83.31,11.28,10.65,15.18,8.22
2012-03-23,79.06,12,11.15,18.9,5.65
2012-03-24,75.06,12.67,12.26,20.63,6.39
2012-03-25,78.31,12.58,12.33,20.66,5.51
2012-03-26,72.88,12.75,12.5,20.65,7.14
2012-03-27,72.62,11.93,11.68,20.19,5.19
2012-03-28,76.25,12.47,12.4,21.04,4.91
2012-03-29,74.38,12.11,12.22,20.3,6.73
2012-03-30,75.12,11.47,11.63,19.96,4.27
2012-03-31,81.12,10.09,10.8,17.22,5.65
2012-04-01,67,7.23,7.61,14.23,1.48
2012-04-02,68.62,7.95,8.47,16.47,-0.11
2012-04-03,76.19,8.07,8.75,14.26,3.2
2012-04-04,70.19,7.19,7.4,11.85,2.83
2012-04-05,76.38,8.04,8.03,14.69,0.87
2012-04-06,73.31,8.32,8.99,15.04,3.38
2012-04-07,81.5,8.32,8.83,14,1.58
2012-04-08,85.69,9.76,10.22,14.58,5.72
2012-04-09,89.69,10.22,10.16,12.47,8.21
2012-04-10,78.19,9.17,9.37,12.72,5.83
2012-04-11,82.31,8.07,8.29,12.54,3.61
2012-04-12,76.12,8.18,8.85,13.63,2.63
2012-04-13,79.94,7.84,7.73,11.54,3.93
2012-04-14,81.88,7.8,7.73,11.4,3.76
2012-04-15,70.25,7.13,7.43,11.01,3.67
2012-04-16,68.44,6.75,7.16,12.03,1.62
2012-04-17,77.62,8.73,8.82,13.74,3.45
2012-04-18,85.19,7.8,7.55,11.21,4.12
2012-04-19,83.88,7.55,7.73,12.94,3.66
2012-04-20,83.19,7.56,7.83,11.38,3.51
2012-04-21,81.31,8.13,8.23,12.68,3.95
2012-04-22,76.44,7.76,7.85,12.19,4.05
2012-04-23,87.81,8.21,8.09,11.79,5.35
